alex,alex@gmail.com,pass123,male,female,music
andrie,andrie@gmail.com,pass123,male,female,books
john,john@gmail.com,pass123,male,female,sports
mike,mike@gmail.com,pass123,male,female,gaming
tom,tom@gmail.com,pass123,male,female,cooking
paul,paul@gmail.com,pass123,male,female,painting
kevin,kevin@gmail.com,pass123,male,female,yoga
dan,dan@gmail.com,pass123,male,female,writing
joe,joe@gmail.com,pass123,male,female,hiking
rob,rob@gmail.com,pass123,male,female,reading
steve,steve@gmail.com,pass123,male,female,blogging
